id	db_id	x	y
1496	49167035	-77.071296	38.97327
1497	49170731	-77.089416	38.959018
1498	49174193	-77.09188	38.956939
30455	49175765	-77.09127	38.957546
30456	49177919	-77.075325	38.970275
30457	49183953	-77.075599	38.969367
30458	49184747	-77.0981665	38.9510626
1436	49198976	-77.0976082	38.9514986
30459	49198977	-77.098358	38.952072
1492	49201955	-77.073463	38.971138
33458	49218552	-77.047199	38.991374
0	49261235	-77.002677	38.967323
5	49262666	-77.0328759	38.9894595
6	49264239	-77.06031	38.981788
33460	49283681	-77.062324	38.980297
33461	49284851	-77.0942525	38.9548963
33462	49286935	-77.014213	38.975765
33463	49291137	-77.055671	38.985656
33464	49311893	-77.097145	38.953029
33467	49311894	-77.096221	38.953746
33468	49337134	-77.10041	38.950508
33469	49352733	-77.0275655	38.9865422
1	49368511	-77.0580494	38.9834554
2	49373927	-77.063491	38.979484
33470	49715918	-77.009047	38.953452
33471	49715932	-77.0135158	38.9533085
33472	49715936	-77.0159372	38.9532448
33474	49715946	-77.0176445	38.953198
33475	49715951	-77.0197174	38.9531399
33476	49715966	-77.022154	38.9530715
33477	49715970	-77.0238746	38.9530172
33478	49715974	-77.0254044	38.9529676
33479	49715981	-77.0275645	38.9529006
33480	49715998	-77.0334259	38.9529135
33481	49715999	-77.034747	38.9529164
33482	49716007	-77.0360537	38.9529193
33483	49716018	-77.016607	38.84161
33484	49716024	-77.0151	38.841263
33487	49716025	-77.013992	38.841009
33489	49716027	-77.01286	38.840747
33490	49716030	-77.009416	38.839954
33491	49716039	-77.011789	38.840496
33492	49716063	-76.986565	38.919599
33493	49716066	-76.986272	38.91998
33494	49716082	-76.9853057	38.9210835
33495	49716093	-76.984546	38.921373
33496	49716098	-76.983805	38.922018
33497	49716102	-76.9830385	38.9227003
33498	49716126	-77.0380519	38.8963551
33499	49716129	-76.932224	38.888994
33500	49716137	-76.929914	38.88869
33501	49716152	-76.927659	38.888389
33502	49716159	-76.926868	38.888339
33503	49716160	-76.9223466	38.8876712
33504	49716175	-76.9212233	38.8874825
33505	49716191	-77.042718	38.985556
33506	49716214	-77.044455	38.986305
33507	49716219	-77.045333	38.986966
33508	49716224	-77.046609	38.987906
33509	49716493	-77.0083541	38.8338471
33510	49716503	-77.0083736	38.8328949
33511	49716509	-77.0083117	38.8326311
1502	49716516	-77.008223	38.832388
1503	49716521	-77.0079826	38.8318924
1504	49716541	-77.007675	38.830215
1505	49716545	-77.007675	38.829199
1506	49716549	-77.007675	38.827795
1507	49716575	-77.007336	38.826063
1508	49716589	-77.006747	38.825144
1509	49716602	-77.006002	38.824091
1510	49716610	-77.005631	38.823747
1511	49716661	-77.0089239	38.8879844
1512	49716662	-77.0090656	38.8875904
1513	49716672	-77.009061	38.8850617
1514	49716675	-77.0090761	38.8841635
1515	49716680	-77.0090491	38.8838384
1516	49716751	-77.0090621	38.8690217
1517	49716868	-77.00907	38.867284
